University,Program,Previous Status,Revised Status,Primary Exclusion Reason,Funding Problem,Eligibility Problem,Fit Problem,Application Economics Problem,Evidence URL,Reconsideration Condition
Montana State University,Computer Science PhD,Pass 2 gated out,Do Not Apply,Pass 2.1 does not justify application spending; unresolved or failed areas: funding.,Funding remains conditional or insufficient.,,,"The fee or applicable waiver is high, unknown, or unverified.",https://www.cs.montana.edu/graduate-admissions.html,Reconsider only if direct official evidence materially improves the failed gate or application economics.
Simon Fraser University,Master of Applied Science in Engineering Science,Pass 2 gated out,Conditional,Do not apply until one supervisor confirms a viable package.,Supervisor-dependent conditional funding,,,"The fee or applicable waiver is high, unknown, or unverified.",https://www.sfu.ca/fas/study/future-graduates/programs/master-applied-science.html,What minimum two-year funding and tuition offset will a willing supervisor commit for an international MASc student?
Simon Fraser University,Master of Science in Computing Science — Thesis Option,Pass 2 gated out,Do Not Apply,Pass 2.1 does not justify application spending; unresolved or failed areas: eligibility.,,Formal academic or international eligibility is unresolved or fails.,,"The fee or applicable waiver is high, unknown, or unverified.",https://www.sfu.ca/fas/study/future-graduates/programs/master-science-thesis.html,Reconsider only if direct official evidence materially improves the failed gate or application economics.
University of California-Irvine,Software Engineering PhD,Pass 2 gated out,Do Not Apply,Pass 2.1 does not justify application spending; unresolved or failed areas: funding.,Funding remains conditional or insufficient.,,,"The fee or applicable waiver is high, unknown, or unverified.",https://ics.uci.edu/admissions-information-and-computer-science/graduate-admissions/graduate-research-admissions-faq/,Reconsider only if direct official evidence materially improves the failed gate or application economics.
University of California-Riverside,Ph.D. in Computer Science,Pass 2 gated out,Do Not Apply,Pass 2.1 does not justify application spending; unresolved or failed areas: funding.,Funding remains conditional or insufficient.,,,"The fee or applicable waiver is high, unknown, or unverified.",https://www1.cs.ucr.edu/graduate-admissions-frequently-asked-questions,Reconsider only if direct official evidence materially improves the failed gate or application economics.
University of California-San Diego,Computer Science and Engineering PhD,Pass 2 gated out,Do Not Apply,Pass 2.1 does not justify application spending; unresolved or failed areas: funding.,Funding passes claim-level review but does not overcome the remaining portfolio weaknesses.,,,"The fee or applicable waiver is high, unknown, or unverified.",https://cse.ucsd.edu/graduate/financial-opportunities,Reconsider only if direct official evidence materially improves the failed gate or application economics.
University of California-Santa Barbara,Doctor of Philosophy in Computer Science,Pass 2 gated out,Do Not Apply,Pass 2.1 does not justify application spending; unresolved or failed areas: funding.,Funding remains conditional or insufficient.,,,"The fee or applicable waiver is high, unknown, or unverified.",https://cs.ucsb.edu/index.php/education/graduate/how-to-apply,Reconsider only if direct official evidence materially improves the failed gate or application economics.
University of Connecticut,Computer Science and Engineering (PhD),Pass 2 gated out,Do Not Apply,Pass 2.1 does not justify application spending; unresolved or failed areas: funding.,Funding remains conditional or insufficient.,,,"The fee or applicable waiver is high, unknown, or unverified.",https://computing.engineering.uconn.edu/graduate-studies/grad-fellowships-assistantships/,Reconsider only if direct official evidence materially improves the failed gate or application economics.
University of Gothenburg,Software Engineering and Management Master's Programme,Pass 2 gated out,Do Not Apply,Pass 2.1 does not justify application spending; unresolved or failed areas: funding.,Funding remains conditional or insufficient.,,,"The fee or applicable waiver is high, unknown, or unverified.",https://www.gu.se/en/study-gothenburg/software-engineering-and-management-masters-programme-n2sof,Reconsider only if direct official evidence materially improves the failed gate or application economics.
University of Guelph,Doctor of Philosophy in Computer Science,Pass 2 gated out,Do Not Apply,Pass 2.1 does not justify application spending; unresolved or failed areas: eligibility.,,Formal academic or international eligibility is unresolved or fails.,,"The fee or applicable waiver is high, unknown, or unverified.",https://www.uoguelph.ca/programs/phd-computer-science,Reconsider only if direct official evidence materially improves the failed gate or application economics.
University of Iowa,Ph.D. in Computer Science,Pass 2 gated out,Do Not Apply,Pass 2.1 does not justify application spending; unresolved or failed areas: funding.,Funding remains conditional or insufficient.,,,"The fee or applicable waiver is high, unknown, or unverified.",https://cs.uiowa.edu/graduate/funding,Reconsider only if direct official evidence materially improves the failed gate or application economics.
University of Louisiana at Lafayette,PhD in Applied Computing and Information Sciences,Pass 2 gated out,Do Not Apply,Pass 2.1 does not justify application spending; unresolved or failed areas: funding.,Funding remains conditional or insufficient.,,,"The fee or applicable waiver is high, unknown, or unverified.",https://louisiana.edu/graduateschool/majors-minors/applied-computing-and-information-sciences-phd,Reconsider only if direct official evidence materially improves the failed gate or application economics.
University of Louisville,Doctor of Philosophy in Computer Science and Engineering,Pass 2 gated out,Do Not Apply,Funding remains conditional after claim-level review and does not support application spending now.,Funding remains conditional or insufficient.,,,"The fee or applicable waiver is high, unknown, or unverified.",https://engineering.louisville.edu/graduatefunding/,Reconsider only if direct official evidence materially improves the failed gate or application economics.
University of Missouri-Columbia,PhD in Computer Science,Pass 2 gated out,Do Not Apply,Pass 2.1 does not justify application spending; unresolved or failed areas: funding.,Funding remains conditional or insufficient.,,,"The fee or applicable waiver is high, unknown, or unverified.",https://catalog.missouri.edu/collegeofengineering/computerscience/,Reconsider only if direct official evidence materially improves the failed gate or application economics.
University of Nebraska at Omaha,"Computing & Information Science, Ph.D.",Pass 2 gated out,Do Not Apply,Pass 2.1 does not justify application spending; unresolved or failed areas: funding.,Funding remains conditional or insufficient.,,,"The fee or applicable waiver is high, unknown, or unverified.",https://www.unomaha.edu/college-of-information-science-and-technology/phd-it/prospective-students/financial-aid.php,Reconsider only if direct official evidence materially improves the failed gate or application economics.
University of New Hampshire-Main Campus,"Computer Science, Ph.D.",Pass 2 gated out,Do Not Apply,Pass 2.1 does not justify application spending; unresolved or failed areas: funding.,Funding remains conditional or insufficient.,,,"The fee or applicable waiver is high, unknown, or unverified.",https://www.unh.edu/program/doctor-philosophy/computer-science,Reconsider only if direct official evidence materially improves the failed gate or application economics.
University of Rhode Island,Computer Science Ph.D.,Pass 2 gated out,Do Not Apply,Pass 2.1 does not justify application spending; unresolved or failed areas: funding.,Funding remains conditional or insufficient.,,,"The fee or applicable waiver is high, unknown, or unverified.",https://web.uri.edu/graduate-school/funding/assistantships/,Reconsider only if direct official evidence materially improves the failed gate or application economics.
University of Wisconsin-Madison,"Computer Sciences, PhD",Pass 2 gated out,Do Not Apply,Pass 2.1 does not justify application spending; unresolved or failed areas: funding.,Funding remains conditional or insufficient.,,,"The fee or applicable waiver is high, unknown, or unverified.",https://www.cs.wisc.edu/grad/programs/funding/,Reconsider only if direct official evidence materially improves the failed gate or application economics.
University of Wisconsin-Milwaukee,Computer Science PhD,Pass 2 gated out,Do Not Apply,Pass 2.1 does not justify application spending; unresolved or failed areas: funding.,Funding remains conditional or insufficient.,,,"The fee or applicable waiver is high, unknown, or unverified.",https://uwm.edu/engineering/academics/computer-science-phd/,Reconsider only if direct official evidence materially improves the failed gate or application economics.
West Virginia University,"Computer Science, Ph.D.",Pass 2 gated out,Do Not Apply,Pass 2.1 does not justify application spending; unresolved or failed areas: funding.,Funding remains conditional or insufficient.,,,"The fee or applicable waiver is high, unknown, or unverified.",https://lcsee.statler.wvu.edu/graduate,Reconsider only if direct official evidence materially improves the failed gate or application economics.
École Polytechnique de Montréal,Master of Applied Science in Computer Engineering — Software Engineering Option,Pass 2 gated out,Do Not Apply,Pass 2.1 does not justify application spending; unresolved or failed areas: funding.,Funding remains conditional or insufficient.,,,"The fee or applicable waiver is high, unknown, or unverified.",https://www.polymtl.ca/futur/en/es/finances,Reconsider only if direct official evidence materially improves the failed gate or application economics.
Boise State University,Doctor of Philosophy in Computing — Computer Science or Cybersecurity emphasis,Pass 2 gated out,Do Not Apply,Funding remains conditional after claim-level review and does not support application spending now.,Funding remains conditional or insufficient.,Formal academic or international eligibility is unresolved or fails.,,,https://www.boisestate.edu/computing/academics/doctoral-program/graduate-assistantships/,Reconsider only if direct official evidence materially improves the failed gate or application economics.
Florida International University,Doctor of Philosophy in Computer Science,Pass 2 gated out,Do Not Apply,Funding remains conditional after claim-level review and does not support application spending now.,Funding remains conditional or insufficient.,Formal academic or international eligibility is unresolved or fails.,,,https://www.cis.fiu.edu/degree/doctor-of-philosophy-in-computer-science/,Reconsider only if direct official evidence materially improves the failed gate or application economics.
George Mason University,Computer Science PhD,Pass 2 gated out,Do Not Apply,Pass 2.1 does not justify application spending; unresolved or failed areas: funding.,Funding remains conditional or insufficient.,,,,https://cs.gmu.edu/academics/graduate-programs,Reconsider only if direct official evidence materially improves the failed gate or application economics.
Oregon State University,Computer Science PhD,Pass 2 gated out,Do Not Apply,Pass 2.1 does not justify application spending; unresolved or failed areas: funding.,Funding remains conditional or insufficient.,,,,https://engineering.oregonstate.edu/academics/programs/computer-science/graduate,Reconsider only if direct official evidence materially improves the failed gate or application economics.
University of South Florida,Doctor of Philosophy in Computer Science and Engineering,Pass 2 gated out,Do Not Apply,"Pass 2.1 does not justify application spending; unresolved or failed areas: funding, eligibility.",Funding passes claim-level review but does not overcome the remaining portfolio weaknesses.,Formal academic or international eligibility is unresolved or fails.,,,https://www.usf.edu/ai-cybersecurity-computing/academics/application-faq.aspx,Reconsider only if direct official evidence materially improves the failed gate or application economics.
University of Trento,Master's Degree in Computer Science,Pass 2 gated out,Do Not Apply,Funding remains conditional after claim-level review and does not support application spending now.,Funding remains conditional or insufficient.,Formal academic or international eligibility is unresolved or fails.,,,https://www.unitn.it/en/study/fees-scholarships-accommodation/scholarships-and-awards/scholarships-international-students,Reconsider only if direct official evidence materially improves the failed gate or application economics.
University of Tulsa,"Computer Science, Ph.D.",Pass 2 gated out,Do Not Apply,Funding remains conditional after claim-level review and does not support application spending now.,Funding remains conditional or insufficient.,Formal academic or international eligibility is unresolved or fails.,,,https://utulsa.edu/tuition-aid/graduate-financial-assistance/assistantships-fellowships/,Reconsider only if direct official evidence materially improves the failed gate or application economics.
Florida Atlantic University,Doctor of Philosophy with Major in Computer Science,Pass 2 gated out,Do Not Apply,Funding remains conditional after claim-level review and does not support application spending now.,Funding remains conditional or insufficient.,Formal academic or international eligibility is unresolved or fails.,,"The fee or applicable waiver is high, unknown, or unverified.",https://www.fau.edu/engineering/graduate/phd-funding/,Reconsider only if direct official evidence materially improves the failed gate or application economics.
Ontario Tech University,Master of Applied Science in Software Engineering,Pass 2 gated out,Do Not Apply,Funding remains conditional after claim-level review and does not support application spending now.,Funding remains conditional or insufficient.,Formal academic or international eligibility is unresolved or fails.,,"The fee or applicable waiver is high, unknown, or unverified.",https://gradstudies.ontariotechu.ca/future_students/programs/masters_programs/software_engineering/index.php,Reconsider only if direct official evidence materially improves the failed gate or application economics.
Saint Mary’s University,MSc in Applied Science — Computing Science research field,Pass 2 gated out,Do Not Apply,Funding remains conditional after claim-level review and does not support application spending now.,Funding remains conditional or insufficient.,Formal academic or international eligibility is unresolved or fails.,,"The fee or applicable waiver is high, unknown, or unverified.",https://www.smu.ca/webfiles/MSc_APSC_ProgramGuide_20240909.pdf,Reconsider only if direct official evidence materially improves the failed gate or application economics.
St. Francis Xavier University,Master of Science in Computer Science,Pass 2 gated out,Do Not Apply,Funding remains conditional after claim-level review and does not support application spending now.,Funding remains conditional or insufficient.,Formal academic or international eligibility is unresolved or fails.,,"The fee or applicable waiver is high, unknown, or unverified.",https://www.stfx.ca/programs-courses/programs/master-science-computer-science,Reconsider only if direct official evidence materially improves the failed gate or application economics.
University of British Columbia,Master of Applied Science in Electrical and Computer Engineering,Pass 2 gated out,Do Not Apply,Funding remains conditional after claim-level review and does not support application spending now.,Funding remains conditional or insufficient.,Formal academic or international eligibility is unresolved or fails.,,"The fee or applicable waiver is high, unknown, or unverified.",https://www.grad.ubc.ca/prospective-students/graduate-degree-programs/master-of-applied-science-electrical-computer-engineering,Reconsider only if direct official evidence materially improves the failed gate or application economics.
University of Pisa,Master's Degree in Computer Science,Pass 2 gated out,Do Not Apply,Funding remains conditional after claim-level review and does not support application spending now.,Funding remains conditional or insufficient.,Formal academic or international eligibility is unresolved or fails.,,"The fee or applicable waiver is high, unknown, or unverified.",https://www.unipi.it/en/education/registration/enrolment-and-registration/enrolment-for-international-students/university-fees-and-scholarships/,Reconsider only if direct official evidence materially improves the failed gate or application economics.
Università di Camerino,Master of Science in Computer Science,Pass 2 gated out,Do Not Apply,Funding remains conditional after claim-level review and does not support application spending now.,Funding remains conditional or insufficient.,Formal academic or international eligibility is unresolved or fails.,,"The fee or applicable waiver is high, unknown, or unverified.",https://international.unicam.it/scholarship-unicam/erdis-scholarships,Reconsider only if direct official evidence materially improves the failed gate or application economics.
Western University,Master of Engineering Science (MESc) in Electrical and Computer Engineering,Pass 2 gated out,Do Not Apply,Funding remains conditional after claim-level review and does not support application spending now.,Funding remains conditional or insufficient.,Formal academic or international eligibility is unresolved or fails.,,"The fee or applicable waiver is high, unknown, or unverified.",https://www.eng.uwo.ca/electrical/graduate/current_students/mesc_program.html,Reconsider only if direct official evidence materially improves the failed gate or application economics.
Southern Illinois University-Carbondale,"Computer Science, Doctor of Philosophy",Pass 2 gated out,Do Not Apply,Funding remains conditional after claim-level review and does not support application spending now.,Funding remains conditional or insufficient.,Formal academic or international eligibility is unresolved or fails.,,,https://academics.siu.edu/computing-and-technology/computer-science/doctoral/,Reconsider only if direct official evidence materially improves the failed gate or application economics.
Stevens Institute of Technology,Ph.D. in Computer Science,Pass 2 gated out,Do Not Apply,"Pass 2.1 does not justify application spending; unresolved or failed areas: funding, eligibility.",Funding passes claim-level review but does not overcome the remaining portfolio weaknesses.,Formal academic or international eligibility is unresolved or fails.,,,https://www.stevens.edu/program/computer-science-doctoral-program,Reconsider only if direct official evidence materially improves the failed gate or application economics.
Wichita State University,PhD in Electrical Engineering and Computer Science,Pass 2 gated out,Do Not Apply,Funding remains conditional after claim-level review and does not support application spending now.,Funding remains conditional or insufficient.,Formal academic or international eligibility is unresolved or fails.,,"The fee or applicable waiver is high, unknown, or unverified.",https://www.wichita.edu/academics/graduate_school/assistantships.php,Reconsider only if direct official evidence materially improves the failed gate or application economics.
Georgia Institute of Technology-Main Campus,Computer Science PhD,Pass 2 gated out,Do Not Apply,Pass 2.1 does not justify application spending; unresolved or failed areas: funding.,Funding remains conditional or insufficient.,,,"The fee or applicable waiver is high, unknown, or unverified.",https://www.cc.gatech.edu/degree-programs/phd-computer-science,Reconsider only if direct official evidence materially improves the failed gate or application economics.
University of British Columbia,MSc in Computer Science (research),Pass 2 gated out,Do Not Apply,Pass 2.1 does not justify application spending; unresolved or failed areas: professor.,,,The existing corpus does not establish sufficient program-level concentration in Mitch's areas.,"The fee or applicable waiver is high, unknown, or unverified.",https://www.cs.ubc.ca/students/grad/admissions,Reconsider only if direct official evidence materially improves the failed gate or application economics.
University of Manitoba,Ph.D. in Computer Science,Pass 2 gated out,Do Not Apply,"Pass 2.1 does not justify application spending; unresolved or failed areas: funding, eligibility.",Funding passes claim-level review but does not overcome the remaining portfolio weaknesses.,Formal academic or international eligibility is unresolved or fails.,,"The fee or applicable waiver is high, unknown, or unverified.",https://umanitoba.ca/science/student-experience/financial-aid-awards/computer-science,Reconsider only if direct official evidence materially improves the failed gate or application economics.
University of Toronto,PhD in Computer Science (PhD U),Pass 2 gated out,Do Not Apply,Pass 2.1 does not justify application spending; unresolved or failed areas: professor.,,,The existing corpus does not establish sufficient program-level concentration in Mitch's areas.,"The fee or applicable waiver is high, unknown, or unverified.",https://web.cs.toronto.edu/graduate/funding-tuition-awards,Reconsider only if direct official evidence materially improves the failed gate or application economics.
York University,MASc in Electrical and Computer Engineering,Pass 2 gated out,Do Not Apply,Funding remains conditional after claim-level review and does not support application spending now.,Funding remains conditional or insufficient.,Formal academic or international eligibility is unresolved or fails.,,"The fee or applicable waiver is high, unknown, or unverified.",https://lassonde.yorku.ca/eecs/academics/financial-information-awards/,Reconsider only if direct official evidence materially improves the failed gate or application economics.
University of Nebraska-Lincoln,Computer Science PhD,Pass 2 gated out,Do Not Apply,"Pass 2.1 does not justify application spending; unresolved or failed areas: funding, eligibility.",Funding remains conditional or insufficient.,Formal academic or international eligibility is unresolved or fails.,,,https://graduate.unl.edu/academics/programs/COMP-PHD/,Reconsider only if direct official evidence materially improves the failed gate or application economics.
Queen’s University,MSc in Computing (research pattern),Pass 2 gated out,Do Not Apply,Pass 2.1 does not justify application spending; unresolved or failed areas: professor.,,,The existing corpus does not establish sufficient program-level concentration in Mitch's areas.,"The fee or applicable waiver is high, unknown, or unverified.",https://www.cs.queensu.ca/graduate/msc/patterns/research.php,Reconsider only if direct official evidence materially improves the failed gate or application economics.
University of Calgary,MSc in Computer Science (thesis),Pass 2 gated out,Do Not Apply,Pass 2.1 does not justify application spending; unresolved or failed areas: professor.,,,The existing corpus does not establish sufficient program-level concentration in Mitch's areas.,"The fee or applicable waiver is high, unknown, or unverified.",https://science.ucalgary.ca/computer-science/future-students/graduate/admission-requirements,Reconsider only if direct official evidence materially improves the failed gate or application economics.
University of Waterloo,MMath in Computer Science (thesis),Pass 2 gated out,Do Not Apply,Pass 2.1 does not justify application spending; unresolved or failed areas: professor.,,,The existing corpus does not establish sufficient program-level concentration in Mitch's areas.,"The fee or applicable waiver is high, unknown, or unverified.",https://uwaterloo.ca/computer-science/current-graduate-students/funding-and-awards,Reconsider only if direct official evidence materially improves the failed gate or application economics.
University of British Columbia,PhD Track via MSc,Pass 2 gated out,Do Not Apply,Pass 2.1 does not justify application spending; unresolved or failed areas: professor.,,,The existing corpus does not establish sufficient program-level concentration in Mitch's areas.,"The fee or applicable waiver is high, unknown, or unverified.",https://www.cs.ubc.ca/students/grad/admissions,Reconsider only if direct official evidence materially improves the failed gate or application economics.
ETH Zurich,Direct Doctorate in Computer Science,Pass 2 gated out,Do Not Apply,Funding remains conditional after claim-level review and does not support application spending now.,Funding remains conditional or insufficient.,,The existing corpus does not establish sufficient program-level concentration in Mitch's areas.,"The fee or applicable waiver is high, unknown, or unverified.",https://ethz.ch/en/doctorate.html,Reconsider only if direct official evidence materially improves the failed gate or application economics.
University of Virginia-Main Campus,Ph.D. in Computer Science,Pass 2 gated out,Do Not Apply,Funding remains conditional after claim-level review and does not support application spending now.,Funding remains conditional or insufficient.,,The existing corpus does not establish sufficient program-level concentration in Mitch's areas.,,https://engineering.virginia.edu/department/computer-science/academics/graduate-programs/phd-computer-science,Reconsider only if direct official evidence materially improves the failed gate or application economics.
University of Waterloo,PhD in Computer Science (direct from bachelor's exception),Pass 2 gated out,Do Not Apply,Pass 2.1 does not justify application spending; unresolved or failed areas: professor.,,,The existing corpus does not establish sufficient program-level concentration in Mitch's areas.,"The fee or applicable waiver is high, unknown, or unverified.",https://uwaterloo.ca/computer-science/current-graduate-students/funding-and-awards,Reconsider only if direct official evidence materially improves the failed gate or application economics.
Concordia University,Master of Computer Science (thesis),Pass 2 gated out,Do Not Apply,"Pass 2.1 does not justify application spending; unresolved or failed areas: funding, professor.",Funding remains conditional or insufficient.,,The existing corpus does not establish sufficient program-level concentration in Mitch's areas.,,https://www.concordia.ca/academics/graduate/computer-science-mcompsc.html,Reconsider only if direct official evidence materially improves the failed gate or application economics.
McGill University,MSc in Computer Science (thesis),Pass 2 gated out,Do Not Apply,"Pass 2.1 does not justify application spending; unresolved or failed areas: funding, professor.",Funding remains conditional or insufficient.,,The existing corpus does not establish sufficient program-level concentration in Mitch's areas.,"The fee or applicable waiver is high, unknown, or unverified.",https://www.cs.mcgill.ca/graduate/future/faq/,Reconsider only if direct official evidence materially improves the failed gate or application economics.
University of Calgary,PhD in Computer Science (without completed MSc),Pass 2 gated out,Conditional,Do not apply until the fifth-year funding plan is documented.,Duration-mismatch conditional funding,Formal academic or international eligibility is unresolved or fails.,The existing corpus does not establish sufficient program-level concentration in Mitch's areas.,"The fee or applicable waiver is high, unknown, or unverified.",https://science.ucalgary.ca/computer-science/future-students/graduate/admission-requirements,Will the department extend its four-year guaranteed minimum through the expected fifth year for a direct-from-bachelor PhD student?
University of Edinburgh,PhD Informatics,Pass 2 gated out,Do Not Apply,"Pass 2.1 does not justify application spending; unresolved or failed areas: funding, professor.",Funding remains conditional or insufficient.,,The existing corpus does not establish sufficient program-level concentration in Mitch's areas.,"The fee or applicable waiver is high, unknown, or unverified.",https://informatics.ed.ac.uk/study-with-us/our-degrees/postgraduate-research-and-cdts/postgraduate-research-funding-opportunities-0,Reconsider only if direct official evidence materially improves the failed gate or application economics.
University of Saskatchewan,MSc in Computer Science (thesis),Pass 2 gated out,Do Not Apply,"Pass 2.1 does not justify application spending; unresolved or failed areas: funding, professor.",Funding remains conditional or insufficient.,,The existing corpus does not establish sufficient program-level concentration in Mitch's areas.,"The fee or applicable waiver is high, unknown, or unverified.",https://grad.usask.ca/programs/computer-science.php,Reconsider only if direct official evidence materially improves the failed gate or application economics.
University of Victoria,MSc in Computer Science (thesis),Pass 2 gated out,Do Not Apply,"Pass 2.1 does not justify application spending; unresolved or failed areas: funding, professor.",Funding remains conditional or insufficient.,,The existing corpus does not establish sufficient program-level concentration in Mitch's areas.,"The fee or applicable waiver is high, unknown, or unverified.",https://www.uvic.ca/ecs/computerscience/programs/msc/index.php,Reconsider only if direct official evidence materially improves the failed gate or application economics.
Åbo Akademi University,Erasmus Mundus Joint Master in Engineering of Data-intensive Intelligent Software Systems (EDISS),Pass 2 gated out,Do Not Apply,Funding remains conditional after claim-level review and does not support application spending now.,Funding remains conditional or insufficient.,,The existing corpus does not establish sufficient program-level concentration in Mitch's areas.,"The fee or applicable waiver is high, unknown, or unverified.",https://www.master-ediss.eu/scholarship/,Reconsider only if direct official evidence materially improves the failed gate or application economics.
Trinity College Dublin,PhD in Computer Science and Statistics,Pass 2 gated out,Do Not Apply,"Pass 2.1 does not justify application spending; unresolved or failed areas: funding, professor.",Funding remains conditional or insufficient.,,The existing corpus does not establish sufficient program-level concentration in Mitch's areas.,"The fee or applicable waiver is high, unknown, or unverified.",https://www.tcd.ie/courses/postgraduate/postgraduate-research/engineering-mathematics-and-science/school-of-computer-science-and-statistics/,Reconsider only if direct official evidence materially improves the failed gate or application economics.
Saarland University,Saarbrücken Graduate School of Computer Science,Pass 2 gated out,Do Not Apply,"Pass 2.1 does not justify application spending; unresolved or failed areas: funding, professor.",Funding remains conditional or insufficient.,,The existing corpus does not establish sufficient program-level concentration in Mitch's areas.,"The fee or applicable waiver is high, unknown, or unverified.",https://www.uni-saarland.de/en/future/computerscience.html,Reconsider only if direct official evidence materially improves the failed gate or application economics.
University College London,Computer Science MPhil/PhD,Pass 2 gated out,Do Not Apply,"Pass 2.1 does not justify application spending; unresolved or failed areas: funding, professor.",Funding remains conditional or insufficient.,,The existing corpus does not establish sufficient program-level concentration in Mitch's areas.,"The fee or applicable waiver is high, unknown, or unverified.",https://www.ucl.ac.uk/study/prospective-students/graduate/courses/computer-science-mphilphd,Reconsider only if direct official evidence materially improves the failed gate or application economics.
University of Alberta,MSc in Computing Science (thesis),Pass 2 gated out,Do Not Apply,"Pass 2.1 does not justify application spending; unresolved or failed areas: funding, professor.",Funding remains conditional or insufficient.,,The existing corpus does not establish sufficient program-level concentration in Mitch's areas.,"The fee or applicable waiver is high, unknown, or unverified.",https://www.ualberta.ca/en/admissions/media-library/ua_viewbook_graduate-studies_2026-27_web.pdf,Reconsider only if direct official evidence materially improves the failed gate or application economics.
University of Cambridge,PhD in Computer Science,Pass 2 gated out,Do Not Apply,"Pass 2.1 does not justify application spending; unresolved or failed areas: funding, professor.",Funding remains conditional or insufficient.,,The existing corpus does not establish sufficient program-level concentration in Mitch's areas.,"The fee or applicable waiver is high, unknown, or unverified.",https://www.cst.cam.ac.uk/admissions/phd,Reconsider only if direct official evidence materially improves the failed gate or application economics.
University of Oxford,DPhil in Computer Science,Pass 2 gated out,Do Not Apply,"Pass 2.1 does not justify application spending; unresolved or failed areas: funding, professor.",Funding remains conditional or insufficient.,,The existing corpus does not establish sufficient program-level concentration in Mitch's areas.,"The fee or applicable waiver is high, unknown, or unverified.",https://www.ox.ac.uk/admissions/graduate/courses/dphil-computer-science,Reconsider only if direct official evidence materially improves the failed gate or application economics.
Université de Hearst,Institution-level exclusion audit; no exact recommended program,unresolved_no_independent_positive,Do Not Apply,"No independent positive signal was observed, but the original exclusion was a bounded mechanical screen rather than an exhaustive official-catalog finding.",No exact research program with credible funding is verified.,Exact program eligibility is not verified.,No decision-ready program-level fit is verified.,No application should be purchased without an exact viable program.,https://uhearst.ca/programmes/nos-programmes-detudes/,"Reconsider only if a specific research degree, eligibility route, funding package, and program-level fit are verified."
Vilnius College of Technologies and Design,Institution-level exclusion audit; no exact recommended program,unresolved_no_independent_positive,Do Not Apply,"No independent positive signal was observed, but the original exclusion was a bounded mechanical screen rather than an exhaustive official-catalog finding.",No exact research program with credible funding is verified.,Exact program eligibility is not verified.,No decision-ready program-level fit is verified.,No application should be purchased without an exact viable program.,http://www.vtdko.lt/en/,"Reconsider only if a specific research degree, eligibility route, funding package, and program-level fit are verified."
BI Norwegian Business School,Institution-level exclusion audit; no exact recommended program,reopen_in_funnel,Do Not Apply,An independent discovery path contradicts the bounded original screen; the institution now has a catalog-verification candidate and is not treated as a confirmed no-program result.,No exact research program with credible funding is verified.,Exact program eligibility is not verified.,No decision-ready program-level fit is verified.,No application should be purchased without an exact viable program.,http://www.bi.edu/,"Reconsider only if a specific research degree, eligibility route, funding package, and program-level fit are verified."
University of Florence,Institution-level exclusion audit; no exact recommended program,unresolved_no_independent_positive,Do Not Apply,"No independent positive signal was observed, but the original exclusion was a bounded mechanical screen rather than an exhaustive official-catalog finding.",No exact research program with credible funding is verified.,Exact program eligibility is not verified.,No decision-ready program-level fit is verified.,No application should be purchased without an exact viable program.,https://www.unifi.it,"Reconsider only if a specific research degree, eligibility route, funding package, and program-level fit are verified."
Bournemouth University,Institution-level exclusion audit; no exact recommended program,unresolved_no_independent_positive,Do Not Apply,"No independent positive signal was observed, but the original exclusion was a bounded mechanical screen rather than an exhaustive official-catalog finding.",No exact research program with credible funding is verified.,Exact program eligibility is not verified.,No decision-ready program-level fit is verified.,No application should be purchased without an exact viable program.,https://www.bournemouth.ac.uk,"Reconsider only if a specific research degree, eligibility route, funding package, and program-level fit are verified."
University of Genoa,Institution-level exclusion audit; no exact recommended program,unresolved_no_independent_positive,Do Not Apply,"No independent positive signal was observed, but the original exclusion was a bounded mechanical screen rather than an exhaustive official-catalog finding.",No exact research program with credible funding is verified.,Exact program eligibility is not verified.,No decision-ready program-level fit is verified.,No application should be purchased without an exact viable program.,https://unige.it,"Reconsider only if a specific research degree, eligibility route, funding package, and program-level fit are verified."
University of Klagenfurt,Institution-level exclusion audit; no exact recommended program,unresolved_no_independent_positive,Do Not Apply,"No independent positive signal was observed, but the original exclusion was a bounded mechanical screen rather than an exhaustive official-catalog finding.",No exact research program with credible funding is verified.,Exact program eligibility is not verified.,No decision-ready program-level fit is verified.,No application should be purchased without an exact viable program.,https://www.aau.at,"Reconsider only if a specific research degree, eligibility route, funding package, and program-level fit are verified."
Tilburg University,Institution-level exclusion audit; no exact recommended program,reopen_in_funnel,Do Not Apply,An independent discovery path contradicts the bounded original screen; the institution now has a catalog-verification candidate and is not treated as a confirmed no-program result.,No exact research program with credible funding is verified.,Exact program eligibility is not verified.,No decision-ready program-level fit is verified.,No application should be purchased without an exact viable program.,https://www.tilburguniversity.edu/,"Reconsider only if a specific research degree, eligibility route, funding package, and program-level fit are verified."
Northumbria University,Institution-level exclusion audit; no exact recommended program,unresolved_no_independent_positive,Do Not Apply,"No independent positive signal was observed, but the original exclusion was a bounded mechanical screen rather than an exhaustive official-catalog finding.",No exact research program with credible funding is verified.,Exact program eligibility is not verified.,No decision-ready program-level fit is verified.,No application should be purchased without an exact viable program.,https://www.northumbria.ac.uk/,"Reconsider only if a specific research degree, eligibility route, funding package, and program-level fit are verified."
